"filename", "language", "JavaScript", "Django HTML", "PHP", "CSS", "SCSS", "JSON", "vue", "Markdown", "XML", "Django txt", "YAML", "comment", "blank", "total"
"c:\laragon\www\bazrasi\.gitbook.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\laragon\www\bazrasi\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\laragon\www\bazrasi\app\Activity.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 28, 6, 53
"c:\laragon\www\bazrasi\app\Console\Kernel.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 43
"c:\laragon\www\bazrasi\app\CustomField.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 33, 12, 80
"c:\laragon\www\bazrasi\app\DataTables\CustomFieldDataTable.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 87
"c:\laragon\www\bazrasi\app\DataTables\FileTypeDataTable.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 88
"c:\laragon\www\bazrasi\app\DataTables\SettingDataTable.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 84
"c:\laragon\www\bazrasi\app\DataTables\TagDataTable.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 94
"c:\laragon\www\bazrasi\app\DataTables\UserDataTable.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 91
"c:\laragon\www\bazrasi\app\Document.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 56, 15, 140
"c:\laragon\www\bazrasi\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 52
"c:\laragon\www\bazrasi\app\File.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 55, 11, 105
"c:\laragon\www\bazrasi\app\FileType.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 37, 13, 88
"c:\laragon\www\bazrasi\app\Http\Controllers\AppBaseController.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 36
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 47
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 32, 11, 80
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\laragon\www\bazrasi\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\laragon\www\bazrasi\app\Http\Controllers\Controller.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\bazrasi\app\Http\Controllers\CustomFieldController.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 48, 31, 162
"c:\laragon\www\bazrasi\app\Http\Controllers\DocumentController.php", "PHP", 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 0, 56, 38, 357
"c:\laragon\www\bazrasi\app\Http\Controllers\FileTypeController.php", "PHP", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 48, 31, 159
"c:\laragon\www\bazrasi\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 177
"c:\laragon\www\bazrasi\app\Http\Controllers\ReportController.php", "PHP", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 110
"c:\laragon\www\bazrasi\app\Http\Controllers\SettingController.php", "PHP", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 48, 31, 165
"c:\laragon\www\bazrasi\app\Http\Controllers\TagController.php", "PHP", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 53, 30, 191
"c:\laragon\www\bazrasi\app\Http\Controllers\UserController.php", "PHP", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 58, 34, 232
"c:\laragon\www\bazrasi\app\Http\Kernel.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 84
"c:\laragon\www\bazrasi\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\laragon\www\bazrasi\app\Http\Middleware\CheckBlock.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 25
"c:\laragon\www\bazrasi\app\Http\Middleware\CheckForMaintenanceMode.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\bazrasi\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\bazrasi\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 27
"c:\laragon\www\bazrasi\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\laragon\www\bazrasi\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\laragon\www\bazrasi\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 25
"c:\laragon\www\bazrasi\app\Http\Requests\CreateCustomFieldRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
"c:\laragon\www\bazrasi\app\Http\Requests\CreateDocumentRequest.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 49
"c:\laragon\www\bazrasi\app\Http\Requests\CreateFileTypeRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
"c:\laragon\www\bazrasi\app\Http\Requests\CreateFilesRequest.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 80
"c:\laragon\www\bazrasi\app\Http\Requests\CreateSettingRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 31
